date,etf_close,etf_amount,etf_turnover,etf_amplitude,etf_change_pct,pe_1,pe_2,dividend_yield_1,dividend_yield_2,commodity_close,source_error_count
2023-03-08,0.821,25077169.0,0.73,0.97,-0.61,,,,,105.8,0.0
2023-03-10,0.805,20698807.0,0.61,1.59,-1.59,,,,,134.0,0.0
2023-03-13,0.803,21983288.0,0.65,1.37,-0.25,,,,,125.03,0.0
2023-03-14,0.793,18253798.0,0.55,2.86,-1.25,,,,,110.79,0.0
2023-03-15,0.795,18419264.0,0.55,1.13,0.25,,,,,106.2,0.0
2023-03-16,0.779,19816289.0,0.6,1.89,-2.01,,,,,109.25,0.0
2023-03-17,0.78,27743458.0,0.85,1.54,0.13,,,,,104.2,0.0
2023-03-20,0.779,17149156.0,0.53,1.28,-0.13,,,,,94.26,0.0
2023-03-21,0.787,78608980.0,2.39,1.28,1.03,,,,,104.25,0.0
2023-03-22,0.789,20899229.0,0.63,1.4,0.25,,,,,97.31,0.0
2023-03-23,0.786,25116899.0,0.76,0.89,-0.38,,,,,106.61,0.0
2023-03-24,0.783,15802141.0,0.48,0.89,-0.38,,,,,100.8,0.0
2023-03-27,0.782,18511894.0,0.57,1.15,-0.13,,,,,102.5,0.0
2023-03-28,0.789,55198810.0,1.67,2.94,0.9,,,,,105.9,0.0
2023-03-29,0.783,23926652.0,0.73,1.9,-0.76,,,,,106.3,0.0
2023-03-30,0.785,20277186.0,0.62,1.66,0.26,,,,,107.48,0.0
2023-03-31,0.787,23295830.0,0.7,1.66,0.25,,,,,107.48,0.0
2023-04-03,0.789,24632608.0,0.75,1.02,0.25,,,,,124.5,0.0
2023-04-04,0.777,37884888.0,1.16,2.03,-1.52,,,,,112.31,0.0
2023-04-06,0.778,16667063.0,0.51,0.9,0.13,,,,,103.8,0.0
2023-04-07,0.784,29128814.0,0.89,1.16,0.77,,,,,103.8,0.0
2023-04-10,0.786,22119127.0,0.67,0.64,0.26,,,,,103.8,0.0
2023-04-11,0.786,19039261.0,0.58,0.76,0.0,,,,,103.5,0.0
2023-04-12,0.781,21506247.0,0.66,1.27,-0.64,,,,,101.51,0.0
2023-04-13,0.773,21346334.0,0.66,1.15,-1.02,,,,,99.8,0.0
2023-04-14,0.779,28397803.0,0.87,1.29,0.78,,,,,98.75,0.0
2023-04-17,0.794,32950037.0,1.0,2.18,1.93,,,,,98.75,0.0
2023-04-18,0.795,24607287.0,0.74,1.13,0.13,,,,,102.0,0.0
