date,etf_close,etf_amount,etf_turnover,etf_amplitude,etf_change_pct,pe_1,pe_2,dividend_yield_1,dividend_yield_2,source_error_count
2023-03-08,0.318,95436328.0,0.37,2.88,1.92,,,,,0.0
2023-03-10,0.315,97288486.0,0.38,1.87,-1.87,,,,,0.0
2023-03-13,0.323,146054014.0,0.56,5.71,2.54,,,,,0.0
2023-03-14,0.321,74020509.0,0.29,2.17,-0.62,,,,,0.0
2023-03-15,0.319,97992252.0,0.38,1.87,-0.62,,,,,0.0
2023-03-16,0.315,87830461.0,0.34,1.88,-1.25,,,,,0.0
2023-03-17,0.328,133296210.0,0.51,4.13,4.13,,,,,0.0
2023-03-20,0.332,150732697.0,0.56,2.74,1.22,,,,,0.0
2023-03-21,0.334,78324951.0,0.29,1.81,0.6,,,,,0.0
2023-03-22,0.35,177863309.0,0.64,5.09,4.79,,,,,0.0
2023-03-23,0.362,168210607.0,0.58,4.29,3.43,,,,,0.0
2023-03-24,0.362,213577577.0,0.73,2.49,0.0,,,,,0.0
2023-03-27,0.362,230039649.0,0.79,3.31,0.0,,,,,0.0
2023-03-28,0.352,148164177.0,0.51,2.49,-2.76,,,,,0.0
2023-03-29,0.354,184322239.0,0.64,2.56,0.57,,,,,0.0
2023-03-30,0.347,135053540.0,0.48,3.95,-1.98,,,,,0.0
2023-03-31,0.354,151336654.0,0.54,3.75,2.02,,,,,0.0
2023-04-03,0.368,177656889.0,0.61,4.52,3.95,,,,,0.0
2023-04-04,0.368,128919280.0,0.43,2.17,0.0,,,,,0.0
2023-04-06,0.381,181826037.0,0.59,5.98,3.53,,,,,0.0
2023-04-07,0.389,222487420.0,0.71,2.36,2.1,,,,,0.0
2023-04-10,0.375,242620127.0,0.78,5.4,-3.6,,,,,0.0
2023-04-11,0.376,186956943.0,0.62,2.67,0.27,,,,,0.0
2023-04-12,0.386,183538372.0,0.59,4.52,2.66,,,,,0.0
2023-04-13,0.37,206638588.0,0.68,4.92,-4.15,,,,,0.0
2023-04-14,0.372,148277514.0,0.5,2.7,0.54,,,,,0.0
2023-04-17,0.366,133672039.0,0.45,2.15,-1.61,,,,,0.0
2023-04-18,0.379,241181518.0,0.8,5.74,3.55,,,,,0.0
2023-04-19,0.373,231155107.0,0.75,3.43,-1.58,,,,,0.0
2023-04-20,0.391,207487068.0,0.66,4.56,4.83,,,,,0.0
2023-04-21,0.371,191712344.0,0.62,5.12,-5.12,,,,,0.0
2023-04-24,0.379,212334288.0,0.69,3.23,2.16,,,,,0.0
2023-04-25,0.365,347809653.0,1.17,4.49,-3.69,,,,,0.0
2023-04-26,0.352,196754284.0,0.68,4.66,-3.56,,,,,0.0
2023-04-27,0.344,181674180.0,0.65,2.56,-2.27,,,,,0.0
2023-04-28,0.357,173942125.0,0.61,5.23,3.78,,,,,0.0
2023-05-04,0.349,102243302.0,0.36,3.36,-2.24,,,,,0.0
2023-05-05,0.338,157343314.0,0.57,3.72,-3.15,,,,,0.0
2023-05-08,0.345,129181288.0,0.47,3.25,2.07,,,,,0.0
2023-05-09,0.34,232284059.0,0.83,3.19,-1.45,,,,,0.0
2023-05-10,0.337,135368126.0,0.49,3.53,-0.88,,,,,0.0
2023-05-11,0.335,109876638.0,0.4,1.78,-0.59,,,,,0.0
2023-05-12,0.332,67876527.0,0.25,2.09,-0.9,,,,,0.0
2023-05-15,0.339,171256433.0,0.64,3.92,2.11,,,,,0.0
2023-05-16,0.334,97436510.0,0.36,1.77,-1.47,,,,,0.0
2023-05-17,0.341,92439426.0,0.34,2.99,2.1,,,,,0.0
2023-05-18,0.358,188592167.0,0.66,4.4,4.99,,,,,0.0
2023-05-19,0.356,677948948.0,2.34,1.96,-0.56,,,,,0.0
2023-05-22,0.348,128064392.0,0.45,2.81,-2.25,,,,,0.0
2023-05-23,0.342,120306845.0,0.43,2.01,-1.72,,,,,0.0
2023-05-24,0.343,139618015.0,0.5,3.51,0.29,,,,,0.0
2023-05-25,0.353,324237754.0,1.14,4.37,2.92,,,,,0.0
2023-05-26,0.358,193442590.0,0.67,3.12,1.42,,,,,0.0
2023-05-29,0.364,199891228.0,0.67,2.51,1.68,,,,,0.0
2023-05-30,0.372,231272732.0,0.78,3.57,2.2,,,,,0.0
2023-05-31,0.375,171482798.0,0.57,2.15,0.81,,,,,0.0
2023-06-01,0.378,160362797.0,0.53,3.2,0.8,,,,,0.0
2023-06-02,0.378,131577513.0,0.43,1.32,0.0,,,,,0.0
2023-06-05,0.386,175786001.0,0.56,3.7,2.12,,,,,0.0
2023-06-06,0.375,269063306.0,0.87,3.63,-2.85,,,,,0.0
2023-06-07,0.376,124783955.0,0.41,2.13,0.27,,,,,0.0
2023-06-08,0.37,192994675.0,0.64,2.13,-1.6,,,,,0.0
2023-06-09,0.386,237315692.0,0.78,5.41,4.32,,,,,0.0
2023-06-12,0.389,200612685.0,0.64,2.33,0.78,,,,,0.0
2023-06-13,0.398,195399551.0,0.61,3.6,2.31,,,,,0.0
2023-06-14,0.406,394895947.0,1.21,4.02,2.01,,,,,0.0
2023-06-15,0.409,250386736.0,0.75,3.2,0.74,,,,,0.0
2023-06-16,0.43,465734811.0,1.38,6.6,5.13,,,,,0.0
2023-06-19,0.451,364331239.0,1.02,5.58,4.88,,,,,0.0
2023-06-20,0.458,387665278.0,1.07,3.99,1.55,,,,,0.0
2023-06-21,0.438,306728706.0,0.86,3.71,-4.37,,,,,0.0
2023-06-26,0.422,358780899.0,1.04,4.57,-3.65,,,,,0.0
2023-06-27,0.425,226584868.0,0.66,2.84,0.71,,,,,0.0
2023-06-28,0.412,353102662.0,1.06,4.24,-3.06,,,,,0.0
2023-06-29,0.428,241539725.0,0.71,4.13,3.88,,,,,0.0
2023-06-30,0.437,262819622.0,0.75,4.67,2.1,,,,,0.0
2023-07-03,0.432,270993020.0,0.78,4.35,-1.14,,,,,0.0
2023-07-04,0.435,181025871.0,0.51,2.78,0.69,,,,,0.0
2023-07-05,0.424,262898426.0,0.76,2.99,-2.53,,,,,0.0
2023-07-06,0.426,225942775.0,0.65,3.3,0.47,,,,,0.0
2023-07-07,0.424,189449075.0,0.55,3.76,-0.47,,,,,0.0
2023-07-10,0.419,169131435.0,0.5,3.07,-1.18,,,,,0.0
2023-07-11,0.426,170323265.0,0.5,2.63,1.67,,,,,0.0
2023-07-12,0.405,599077577.0,1.8,4.93,-4.93,,,,,0.0
2023-07-13,0.421,227074532.0,0.68,3.95,3.95,,,,,0.0
2023-07-14,0.435,236601650.0,0.68,3.33,3.33,,,,,0.0
2023-07-17,0.437,221549114.0,0.63,2.3,0.46,,,,,0.0
2023-07-18,0.425,169004173.0,0.49,2.75,-2.75,,,,,0.0
2023-07-19,0.421,118346001.0,0.34,2.59,-0.94,,,,,0.0
2023-07-20,0.399,217892329.0,0.66,5.7,-5.23,,,,,0.0
2023-07-21,0.398,148426896.0,0.46,2.01,-0.25,,,,,0.0
2023-07-24,0.401,211138009.0,0.65,4.02,0.75,,,,,0.0
2023-07-25,0.406,214527974.0,0.65,3.24,1.25,,,,,0.0
2023-07-26,0.396,160012282.0,0.5,2.71,-2.46,,,,,0.0
2023-07-27,0.392,189379519.0,0.59,2.27,-1.01,,,,,0.0
2023-07-28,0.393,252031391.0,0.79,2.04,0.26,,,,,0.0
2023-07-31,0.393,158134263.0,0.5,2.04,0.0,,,,,0.0
2023-08-01,0.401,271120783.0,0.84,3.56,2.04,,,,,0.0
2023-08-02,0.4,115872430.0,0.36,1.75,-0.25,,,,,0.0
2023-08-03,0.397,164640932.0,0.51,2.25,-0.75,,,,,0.0
2023-08-04,0.41,276160456.0,0.84,4.28,3.27,,,,,0.0
2023-08-07,0.408,398663889.0,1.19,4.15,-0.49,,,,,0.0
2023-08-08,0.401,228064113.0,0.7,2.45,-1.72,,,,,0.0
2023-08-09,0.389,271928472.0,0.85,3.24,-2.99,,,,,0.0
2023-08-10,0.384,161240793.0,0.52,1.8,-1.29,,,,,0.0
2023-08-11,0.378,108253356.0,0.35,2.6,-1.56,,,,,0.0
2023-08-14,0.381,136832027.0,0.45,2.12,0.79,,,,,0.0
2023-08-15,0.378,165405633.0,0.53,3.41,-0.79,,,,,0.0
2023-08-16,0.37,174015511.0,0.58,2.38,-2.12,,,,,0.0
2023-08-17,0.374,186715449.0,0.62,3.51,1.08,,,,,0.0
2023-08-18,0.362,142008518.0,0.48,3.21,-3.21,,,,,0.0
2023-08-21,0.363,157893490.0,0.53,2.49,0.28,,,,,0.0
2023-08-22,0.379,239700786.0,0.8,4.13,4.41,,,,,0.0
2023-08-23,0.364,198794991.0,0.67,3.17,-3.96,,,,,0.0
2023-08-24,0.366,206649377.0,0.69,3.02,0.55,,,,,0.0
2023-08-25,0.348,160124419.0,0.56,3.55,-4.92,,,,,0.0
2023-08-28,0.354,206817468.0,0.71,3.74,1.72,,,,,0.0
2023-08-29,0.368,174797824.0,0.59,5.37,3.95,,,,,0.0
2023-08-30,0.374,175552712.0,0.58,2.99,1.63,,,,,0.0
2023-08-31,0.375,174509392.0,0.58,1.87,0.27,,,,,0.0
2023-09-01,0.369,120022622.0,0.4,2.13,-1.6,,,,,0.0
2023-09-04,0.374,159500754.0,0.53,1.9,1.36,,,,,0.0
2023-09-05,0.367,146625036.0,0.49,2.14,-1.87,,,,,0.0
2023-09-06,0.369,124086064.0,0.42,2.72,0.54,,,,,0.0
2023-09-07,0.359,116935584.0,0.4,2.71,-2.71,,,,,0.0
2023-09-08,0.362,130371314.0,0.45,2.79,0.84,,,,,0.0
2023-09-11,0.37,170354229.0,0.57,3.87,2.21,,,,,0.0
2023-09-12,0.37,100580647.0,0.34,1.89,0.0,,,,,0.0
2023-09-13,0.361,128098329.0,0.44,2.7,-2.43,,,,,0.0
2023-09-14,0.362,127411052.0,0.43,2.22,0.28,,,,,0.0
2023-09-15,0.355,110152952.0,0.38,2.76,-1.93,,,,,0.0
2023-09-18,0.352,134855531.0,0.47,1.97,-0.85,,,,,0.0
2023-09-19,0.348,106857569.0,0.38,2.27,-1.14,,,,,0.0
2023-09-20,0.347,140984192.0,0.5,2.01,-0.29,,,,,0.0
2023-09-21,0.349,139238991.0,0.49,3.17,0.58,,,,,0.0
2023-09-22,0.37,275173048.0,0.94,6.59,6.02,,,,,0.0
2023-09-25,0.364,190005417.0,0.64,2.16,-1.62,,,,,0.0
2023-09-26,0.365,219752501.0,0.74,2.2,0.27,,,,,0.0
2023-09-27,0.367,140328060.0,0.47,1.64,0.55,,,,,0.0
2023-09-28,0.372,203878889.0,0.68,1.63,1.36,,,,,0.0
2023-10-09,0.371,200211349.0,0.67,1.88,-0.27,,,,,0.0
2023-10-10,0.373,120801940.0,0.4,1.35,0.54,,,,,0.0
2023-10-11,0.377,188702677.0,0.62,2.41,1.07,,,,,0.0
2023-10-12,0.374,138243305.0,0.46,1.86,-0.8,,,,,0.0
2023-10-13,0.369,121914714.0,0.41,1.6,-1.34,,,,,0.0
2023-10-16,0.364,121928840.0,0.41,2.17,-1.36,,,,,0.0
2023-10-17,0.364,91743977.0,0.31,2.2,0.0,,,,,0.0
2023-10-18,0.354,148644113.0,0.52,2.47,-2.75,,,,,0.0
2023-10-19,0.349,101956155.0,0.36,2.26,-1.41,,,,,0.0
2023-10-20,0.339,129914520.0,0.47,3.44,-2.87,,,,,0.0
2023-10-23,0.329,146366390.0,0.54,3.24,-2.95,,,,,0.0
2023-10-24,0.33,94712581.0,0.35,2.74,0.3,,,,,0.0
2023-10-25,0.327,117545786.0,0.44,1.82,-0.91,,,,,0.0
2023-10-26,0.334,122452230.0,0.46,3.36,2.14,,,,,0.0
2023-10-27,0.334,133157837.0,0.5,2.4,0.0,,,,,0.0
2023-10-30,0.339,171302873.0,0.63,2.99,1.5,,,,,0.0
2023-10-31,0.334,111710568.0,0.41,2.36,-1.47,,,,,0.0
2023-11-01,0.331,80557402.0,0.3,1.8,-0.9,,,,,0.0
2023-11-02,0.328,76181993.0,0.28,1.81,-0.91,,,,,0.0
2023-11-03,0.336,166344676.0,0.61,3.05,2.44,,,,,0.0
2023-11-06,0.344,180117086.0,0.65,2.38,2.38,,,,,0.0
2023-11-07,0.351,236540962.0,0.84,4.36,2.03,,,,,0.0
2023-11-08,0.351,192088494.0,0.68,1.71,0.0,,,,,0.0
2023-11-09,0.352,153485594.0,0.54,1.99,0.28,,,,,0.0
2023-11-10,0.349,115912136.0,0.41,1.7,-0.85,,,,,0.0
2023-11-13,0.359,193907036.0,0.67,2.58,2.87,,,,,0.0
2023-11-14,0.361,100839316.0,0.35,1.95,0.56,,,,,0.0
2023-11-15,0.361,123657873.0,0.42,2.77,0.0,,,,,0.0
2023-11-16,0.354,110316487.0,0.38,1.66,-1.94,,,,,0.0
2023-11-17,0.361,159776893.0,0.55,2.82,1.98,,,,,0.0
2023-11-20,0.36,112999042.0,0.39,1.94,-0.28,,,,,0.0
2023-11-21,0.356,87793382.0,0.3,2.5,-1.11,,,,,0.0
2023-11-22,0.346,112698303.0,0.4,2.25,-2.81,,,,,0.0
2023-11-23,0.349,86901365.0,0.31,2.02,0.87,,,,,0.0
2023-11-24,0.342,133402073.0,0.48,2.87,-2.01,,,,,0.0
2023-11-27,0.344,70772626.0,0.26,1.46,0.58,,,,,0.0
2023-11-28,0.343,61202295.0,0.22,1.45,-0.29,,,,,0.0
2023-11-29,0.341,67967161.0,0.25,1.17,-0.58,,,,,0.0
2023-11-30,0.34,65369570.0,0.24,1.47,-0.29,,,,,0.0
2023-12-01,0.347,118264968.0,0.43,3.53,2.06,,,,,0.0
2023-12-04,0.345,125222033.0,0.44,2.02,-0.58,,,,,0.0
2023-12-05,0.336,95644459.0,0.35,2.61,-2.61,,,,,0.0
2023-12-06,0.335,67509197.0,0.25,1.49,-0.3,,,,,0.0
2023-12-07,0.339,112929267.0,0.41,2.09,1.19,,,,,0.0
2023-12-08,0.354,263282663.0,0.93,5.9,4.42,,,,,0.0
2023-12-11,0.359,186120381.0,0.65,3.39,1.41,,,,,0.0
2023-12-12,0.353,200127458.0,0.7,2.23,-1.67,,,,,0.0
2023-12-13,0.347,129480401.0,0.46,1.98,-1.7,,,,,0.0
2023-12-14,0.348,198139819.0,0.7,2.59,0.29,,,,,0.0
2023-12-15,0.343,126997756.0,0.46,2.3,-1.44,,,,,0.0
2023-12-18,0.34,101280644.0,0.37,1.46,-0.87,,,,,0.0
2023-12-19,0.34,81878494.0,0.3,1.76,0.0,,,,,0.0
2023-12-20,0.332,156359063.0,0.58,2.94,-2.35,,,,,0.0
2023-12-21,0.336,134392689.0,0.5,3.92,1.2,,,,,0.0
2023-12-22,0.332,117881857.0,0.43,2.38,-1.19,,,,,0.0
2023-12-25,0.334,88055546.0,0.33,1.81,0.6,,,,,0.0
2023-12-26,0.326,91766212.0,0.35,2.99,-2.4,,,,,0.0
2023-12-27,0.328,99128696.0,0.37,1.53,0.61,,,,,0.0
2023-12-28,0.339,120059664.0,0.44,3.96,3.35,,,,,0.0
2023-12-29,0.345,168757461.0,0.61,2.65,1.77,,,,,0.0
2023-12-31,0.345,168757461.0,0.61,2.65,1.77,,,,,0.0
2024-01-02,0.337,93843657.0,0.34,2.32,-2.32,,,,,0.0
2024-01-03,0.331,110774129.0,0.41,2.37,-1.78,,,,,0.0
2024-01-04,0.328,71005632.0,0.27,1.81,-0.91,,,,,0.0
2024-01-05,0.319,131159900.0,0.5,3.35,-2.74,,,,,0.0
2024-01-08,0.311,88187138.0,0.35,2.19,-2.51,,,,,0.0
2024-01-09,0.313,84709576.0,0.33,2.25,0.64,,,,,0.0
2024-01-10,0.308,84852774.0,0.34,2.56,-1.6,,,,,0.0
2024-01-11,0.317,97103290.0,0.38,3.25,2.92,,,,,0.0
2024-01-12,0.311,75081610.0,0.3,1.58,-1.89,,,,,0.0
2024-01-15,0.311,69348861.0,0.28,2.25,0.0,,,,,0.0
2024-01-16,0.312,69352098.0,0.28,1.93,0.32,,,,,0.0
2024-01-17,0.306,79913850.0,0.32,2.24,-1.92,,,,,0.0
2024-01-18,0.319,208979654.0,0.83,6.21,4.25,,,,,0.0
2024-01-19,0.317,128551938.0,0.5,1.57,-0.63,,,,,0.0
2024-01-22,0.307,186102364.0,0.73,5.36,-3.15,,,,,0.0
2024-01-23,0.317,151043852.0,0.59,4.56,3.26,,,,,0.0
2024-01-24,0.319,182105414.0,0.72,4.73,0.63,,,,,0.0
2024-01-25,0.33,164593911.0,0.63,4.7,3.45,,,,,0.0
2024-01-26,0.321,149429368.0,0.57,2.42,-2.73,,,,,0.0
2024-01-29,0.304,156126752.0,0.63,5.3,-5.3,,,,,0.0
2024-01-30,0.294,145247820.0,0.6,3.29,-3.29,,,,,0.0
2024-01-31,0.287,108413175.0,0.46,3.06,-2.38,,,,,0.0
2024-02-01,0.296,221644530.0,0.93,7.32,3.14,,,,,0.0
2024-02-02,0.288,127838538.0,0.54,7.09,-2.7,,,,,0.0
2024-02-05,0.285,136647327.0,0.59,7.29,-1.04,,,,,0.0
2024-02-06,0.305,174131539.0,0.73,9.82,7.02,,,,,0.0
2024-02-07,0.312,135009718.0,0.54,3.61,2.3,,,,,0.0
2024-02-08,0.32,145036670.0,0.56,5.13,2.56,,,,,0.0
2024-02-19,0.348,343046859.0,1.25,7.5,8.75,,,,,0.0
2024-02-20,0.346,263772693.0,0.95,3.45,-0.57,,,,,0.0
2024-02-21,0.339,279717264.0,1.01,3.18,-2.02,,,,,0.0
2024-02-22,0.348,276497197.0,0.99,2.95,2.65,,,,,0.0
2024-02-23,0.349,224114943.0,0.79,2.87,0.29,,,,,0.0
2024-02-26,0.348,205133280.0,0.73,2.87,-0.29,,,,,0.0
2024-02-27,0.372,402678511.0,1.37,8.62,6.9,,,,,0.0
2024-02-28,0.349,434409067.0,1.47,6.99,-6.18,,,,,0.0
2024-02-29,0.368,356630597.0,1.22,6.02,5.44,,,,,0.0
2024-03-01,0.384,485507272.0,1.59,4.89,4.35,,,,,0.0
2024-03-04,0.393,412370004.0,1.31,4.17,2.34,,,,,0.0
2024-03-05,0.39,539035186.0,1.69,5.34,-0.76,,,,,0.0
2024-03-06,0.39,360235779.0,1.14,2.56,0.0,,,,,0.0
2024-03-07,0.382,424047729.0,1.35,4.1,-2.05,,,,,0.0
2024-03-08,0.404,682209538.0,2.14,5.76,5.76,,,,,0.0
2024-03-11,0.403,588654754.0,1.84,3.96,-0.25,,,,,0.0
2024-03-12,0.397,456630528.0,1.42,3.47,-1.49,,,,,0.0
2024-03-13,0.397,535659723.0,1.64,3.27,0.0,,,,,0.0
2024-03-14,0.394,431151363.0,1.36,2.77,-0.76,,,,,0.0
2024-03-15,0.404,483100613.0,1.5,4.57,2.54,,,,,0.0
2024-03-18,0.413,407679614.0,1.22,3.22,2.23,,,,,0.0
2024-03-19,0.411,355518314.0,1.07,2.66,-0.48,,,,,0.0
2024-03-20,0.408,374906779.0,1.14,2.92,-0.73,,,,,0.0
2024-03-21,0.405,308730881.0,0.93,1.96,-0.74,,,,,0.0
2024-03-22,0.401,319345868.0,0.98,2.47,-0.99,,,,,0.0
2024-03-25,0.393,272251225.0,0.84,3.24,-2.0,,,,,0.0
2024-03-26,0.384,388632204.0,1.23,5.34,-2.29,,,,,0.0
