date,etf_close,etf_amount,etf_turnover,etf_amplitude,etf_change_pct,pe_1,pe_2,dividend_yield_1,dividend_yield_2,source_error_count
2023-03-08,1.033,478685338.229,4.42,1.36,0.29,,,,,0.0
2023-03-10,1.04,563309407.096,5.14,2.1,-0.57,,,,,0.0
2023-03-13,1.038,453361993.916,4.18,1.73,-0.19,,,,,0.0
2023-03-14,1.07,1116234363.045,10.1,4.43,3.08,,,,,0.0
2023-03-15,1.068,857833581.773,7.61,2.43,-0.19,,,,,0.0
2023-03-16,1.061,679478272.4,6.06,1.97,-0.66,,,,,0.0
2023-03-17,1.075,744687239.974,6.61,1.98,1.32,,,,,0.0
2023-03-20,1.097,1069543610.976,9.32,3.81,2.05,,,,,0.0
2023-03-21,1.096,573465321.384,5.0,1.37,-0.09,,,,,0.0
2023-03-22,1.097,533150459.6,4.64,1.28,0.09,,,,,0.0
2023-03-23,1.142,1365863587.708,11.59,4.83,4.1,,,,,0.0
2023-03-24,1.134,831848644.57,6.97,2.28,-0.7,,,,,0.0
2023-03-27,1.113,749403602.217,6.37,2.91,-1.85,,,,,0.0
2023-03-28,1.083,850246049.357,7.4,2.88,-2.7,,,,,0.0
2023-03-29,1.119,1180289384.688,10.16,5.17,3.32,,,,,0.0
2023-03-30,1.134,1078391368.438,9.06,2.5,1.34,,,,,0.0
2023-03-31,1.143,1002789141.276,8.41,1.68,0.79,,,,,0.0
2023-04-03,1.201,1442032732.722,11.62,3.85,5.07,,,,,0.0
2023-04-04,1.219,1877273315.249,14.65,4.41,1.5,,,,,0.0
2023-04-06,1.27,2204053198.839,16.59,8.04,4.18,,,,,0.0
2023-04-07,1.282,1258357486.314,9.42,3.39,0.94,,,,,0.0
2023-04-10,1.243,1378272361.08,10.32,5.62,-3.04,,,,,0.0
2023-04-11,1.244,1103752938.831,8.49,3.38,0.08,,,,,0.0
2023-04-12,1.264,815697836.326,6.19,3.54,1.61,,,,,0.0
2023-04-13,1.214,1231805134.711,9.56,4.11,-3.96,,,,,0.0
2023-04-14,1.274,1296771050.376,9.94,6.43,4.94,,,,,0.0
