date,etf_close,etf_amount,etf_turnover,etf_amplitude,etf_change_pct,pe_1,pe_2,dividend_yield_1,dividend_yield_2,source_error_count
2023-03-08,1.121,99593327.0,0.65,0.97,-0.88,,,,,1.0
2023-03-10,1.103,139702504.0,0.92,1.25,-1.61,,,,,1.0
2023-03-13,1.113,109441943.0,0.72,1.81,0.91,,,,,1.0
2023-03-14,1.108,135801455.0,0.89,2.96,-0.45,,,,,1.0
2023-03-15,1.104,67728025.0,0.45,0.9,-0.36,,,,,1.0
2023-03-16,1.068,150663932.0,1.02,2.72,-3.26,,,,,1.0
2023-03-17,1.075,122321097.0,0.83,1.5,0.66,,,,,1.0
2023-03-20,1.086,98652211.0,0.66,1.58,1.02,,,,,1.0
2023-03-21,1.101,93839506.0,0.63,2.03,1.38,,,,,1.0
2023-03-22,1.097,80569079.0,0.53,1.54,-0.36,,,,,1.0
2023-03-23,1.108,86088883.0,0.57,1.46,1.0,,,,,1.0
2023-03-24,1.105,77822711.0,0.51,1.08,-0.27,,,,,1.0
2023-03-27,1.103,82961043.0,0.55,1.27,-0.18,,,,,1.0
2023-03-28,1.087,72469310.0,0.48,2.18,-1.45,,,,,1.0
2023-03-29,1.082,58051191.0,0.39,1.56,-0.46,,,,,1.0
2023-03-30,1.092,74083224.0,0.5,1.94,0.92,,,,,1.0
2023-03-31,1.101,113060014.0,0.75,1.1,0.82,,,,,1.0
2023-04-03,1.107,144855296.0,0.96,1.73,0.54,,,,,1.0
2023-04-04,1.1,158519826.0,1.05,1.08,-0.63,,,,,1.0
2023-04-06,1.115,121618581.0,0.8,1.82,1.36,,,,,1.0
2023-04-07,1.109,139038739.0,0.91,2.87,-0.54,,,,,1.0
2023-04-10,1.115,121663949.0,0.8,1.44,0.54,,,,,1.0
2023-04-11,1.141,187221592.0,1.21,3.32,2.33,,,,,1.0
2023-04-12,1.147,159540999.0,1.02,1.49,0.53,,,,,1.0
2023-04-13,1.135,164040451.0,1.05,2.01,-1.05,,,,,1.0
2023-04-14,1.171,274767286.0,1.72,2.73,3.17,,,,,1.0
2023-04-17,1.183,286082353.0,1.78,2.48,1.02,,,,,1.0
2023-04-18,1.182,232363453.0,1.43,2.03,-0.08,,,,,1.0
2023-04-19,1.177,155911609.0,0.96,1.18,-0.42,,,,,1.0
2023-04-20,1.151,295530548.0,1.88,2.72,-2.21,,,,,1.0
2023-04-21,1.128,227786050.0,1.47,2.61,-2.0,,,,,1.0
2023-04-24,1.1,163459714.0,1.08,2.75,-2.48,,,,,1.0
2023-04-25,1.065,181272174.0,1.23,4.82,-3.18,,,,,1.0
2023-04-26,1.078,155332556.0,1.06,4.13,1.22,,,,,1.0
2023-04-27,1.078,114904296.0,0.78,1.67,0.0,,,,,1.0
2023-04-28,1.088,138180875.0,0.93,1.76,0.93,,,,,1.0
2023-05-04,1.088,94278453.0,0.63,1.56,0.0,,,,,1.0
2023-05-05,1.067,85318677.0,0.58,2.48,-1.93,,,,,1.0
2023-05-08,1.084,107131008.0,0.72,1.87,1.59,,,,,1.0
2023-05-09,1.066,113450167.0,0.77,2.31,-1.66,,,,,1.0
2023-05-10,1.074,93206531.0,0.63,1.59,0.75,,,,,1.0
2023-05-11,1.066,77020939.0,0.53,1.12,-0.74,,,,,1.0
2023-05-12,1.03,143864553.0,1.01,3.0,-3.38,,,,,1.0
2023-05-15,1.069,167521898.0,1.16,4.08,3.79,,,,,1.0
2023-05-16,1.062,97278151.0,0.66,1.22,-0.65,,,,,1.0
2023-05-17,1.053,102593353.0,0.71,1.32,-0.85,,,,,1.0
2023-05-18,1.053,92687297.0,0.64,1.71,0.0,,,,,1.0
2023-05-19,1.042,74237152.0,0.52,1.61,-1.04,,,,,1.0
2023-05-22,1.044,60612536.0,0.42,1.06,0.19,,,,,1.0
2023-05-23,1.027,89917832.0,0.63,1.72,-1.63,,,,,1.0
2023-05-24,1.022,84566204.0,0.6,1.36,-0.49,,,,,1.0
2023-05-25,1.009,142052864.0,1.02,2.15,-1.27,,,,,1.0
2023-05-26,1.008,95118502.0,0.69,2.08,-0.1,,,,,1.0
2023-05-29,1.003,90568633.0,0.66,1.49,-0.5,,,,,1.0
2023-05-30,1.001,143843995.0,1.05,1.89,-0.2,,,,,1.0
2023-05-31,0.999,133879036.0,0.98,1.3,-0.2,,,,,1.0
2023-06-01,1.007,94090823.0,0.68,1.9,0.8,,,,,1.0
2023-06-02,1.047,221387369.0,1.55,3.48,3.97,,,,,1.0
2023-06-05,1.034,220494033.0,1.55,1.15,-1.24,,,,,1.0
2023-06-06,1.022,81038013.0,0.57,2.03,-1.16,,,,,1.0
2023-06-07,1.014,69890676.0,0.5,1.96,-0.78,,,,,1.0
2023-06-08,1.02,81974664.0,0.59,1.78,0.59,,,,,1.0
2023-06-09,1.032,91709752.0,0.65,1.18,1.18,,,,,1.0
2023-06-12,1.026,117527458.0,0.83,1.26,-0.58,,,,,1.0
2023-06-13,1.026,78558210.0,0.56,1.07,0.0,,,,,1.0
2023-06-14,1.028,250367400.0,1.77,1.17,0.19,,,,,1.0
2023-06-15,1.04,185118612.0,1.31,2.63,1.17,,,,,1.0
2023-06-16,1.046,151035928.0,1.06,1.06,0.58,,,,,1.0
2023-06-19,1.025,113356522.0,0.8,2.2,-2.01,,,,,1.0
2023-06-20,1.018,96637137.0,0.69,1.07,-0.68,,,,,1.0
2023-06-21,0.998,83228159.0,0.6,2.26,-1.96,,,,,1.0
2023-06-26,0.99,79225705.0,0.58,1.5,-0.8,,,,,1.0
2023-06-27,1.006,104211915.0,0.76,1.92,1.62,,,,,1.0
2023-06-28,1.002,72929589.0,0.53,1.59,-0.4,,,,,1.0
2023-06-29,0.996,59900082.0,0.44,0.8,-0.6,,,,,1.0
2023-06-30,1.009,115949719.0,0.84,2.01,1.31,,,,,1.0
2023-07-03,1.027,101608070.0,0.72,1.49,1.78,,,,,1.0
2023-07-04,1.024,104158578.0,0.74,2.34,-0.29,,,,,1.0
2023-07-05,1.045,166806212.0,1.17,2.64,2.05,,,,,1.0
