抓取时间,基金代码,股票代码,股票名称,季度,占净值比例,持股数,持仓市值,行情名称,最新价,当日涨跌幅,贡献涨跌幅,行情时间,行情来源
2026-06-20 04:14:11,006503,301200,大族数控,2026年1季度股票投资明细,9.84,79.17,12841.37,大族数控,337.0,2.719,0.26754959999999994,16:29:15,新浪
2026-06-20 04:14:11,006503,301377,鼎泰高科,2026年1季度股票投资明细,9.84,66.52,12834.73,鼎泰高科,600.0,1.695,0.166788,16:29:30,新浪
2026-06-20 04:14:11,006503,688183,生益电子,2026年1季度股票投资明细,9.69,151.19,12648.45,生益电子,138.5,-1.822,-0.1765518,15:34:59,新浪
2026-06-20 04:14:11,006503,300308,中际旭创,2026年1季度股票投资明细,9.64,22.08,12574.45,中际旭创,1367.88,7.191,0.6932124000000001,16:29:00,新浪
2026-06-20 04:14:11,006503,688498,源杰科技,2026年1季度股票投资明细,9.61,12.47,12540.05,源杰科技,1673.36,3.806,0.3657566,15:00:03,新浪
2026-06-20 04:14:11,006503,300502,新易盛,2026年1季度股票投资明细,9.61,28.31,12538.97,新易盛,581.48,4.23,0.406503,16:29:30,新浪
2026-06-20 04:14:11,006503,600105,永鼎股份,2026年1季度股票投资明细,8.43,396.27,10992.56,永鼎股份,62.12,-1.537,-0.1295691,15:00:02,新浪
2026-06-20 04:14:11,006503,002463,沪电股份,2026年1季度股票投资明细,7.41,127.32,9672.5,沪电股份,147.9,0.921,0.0682461,15:00:00,新浪
2026-06-20 04:14:11,006503,600498,烽火通信,2026年1季度股票投资明细,6.56,169.54,8558.38,烽火通信,75.31,-1.787,-0.11722719999999999,15:00:01,新浪
2026-06-20 04:14:11,006503,688195,腾景科技,2026年1季度股票投资明细,5.63,30.0,7339.5,腾景科技,212.54,0.816,0.0459408,15:34:59,新浪
2026-06-20 04:14:11,024481,301377,鼎泰高科,2026年1季度股票投资明细,9.75,13.8,2662.52,鼎泰高科,600.0,1.695,0.1652625,16:29:30,新浪
2026-06-20 04:14:11,024481,688183,生益电子,2026年1季度股票投资明细,9.74,31.81,2661.56,生益电子,138.5,-1.822,-0.17746280000000003,15:34:59,新浪
2026-06-20 04:14:11,024481,301200,大族数控,2026年1季度股票投资明细,9.74,16.4,2660.31,大族数控,337.0,2.719,0.26483059999999997,16:29:15,新浪
2026-06-20 04:14:11,024481,300502,新易盛,2026年1季度股票投资明细,9.61,5.93,2626.04,新易盛,581.48,4.23,0.406503,16:29:30,新浪
2026-06-20 04:14:11,024481,300308,中际旭创,2026年1季度股票投资明细,9.61,4.61,2624.98,中际旭创,1367.88,7.191,0.6910550999999999,16:29:00,新浪
2026-06-20 04:14:11,024481,688498,源杰科技,2026年1季度股票投资明细,9.55,2.6,2609.12,源杰科技,1673.36,3.806,0.36347300000000005,15:00:03,新浪
2026-06-20 04:14:11,024481,600105,永鼎股份,2026年1季度股票投资明细,8.58,84.47,2343.2,永鼎股份,62.12,-1.537,-0.1318746,15:00:02,新浪
2026-06-20 04:14:11,024481,002463,沪电股份,2026年1季度股票投资明细,7.7,27.67,2102.09,沪电股份,147.9,0.921,0.07091700000000001,15:00:00,新浪
2026-06-20 04:14:11,024481,600183,生益科技,2026年1季度股票投资明细,6.1,30.75,1665.48,生益科技,183.87,2.065,0.125965,15:00:01,新浪
2026-06-20 04:14:11,024481,600498,烽火通信,2026年1季度股票投资明细,5.14,27.83,1404.86,烽火通信,75.31,-1.787,-0.09185179999999998,15:00:01,新浪
2026-06-20 04:14:11,021523,301377,鼎泰高科,2026年1季度股票投资明细,9.82,159.94,30861.75,鼎泰高科,600.0,1.695,0.16644899999999999,16:29:30,新浪
