抓取时间,基金代码,股票代码,股票名称,季度,持仓来源,是否补足项,占净值比例,原始占净值比例,持股数,持仓市值,行情名称,最新价,当日涨跌幅,贡献涨跌幅,行情时间,行情来源
2026-06-20 04:30:07,006503,301200,大族数控,2026年1季度股票投资明细,2026Q1季报,否,9.84,9.84,79.17,12841.37,大族数控,337.0,2.719,0.26754959999999994,16:29:15,新浪
2026-06-20 04:30:07,006503,301377,鼎泰高科,2026年1季度股票投资明细,2026Q1季报,否,9.84,9.84,66.52,12834.73,鼎泰高科,600.0,1.695,0.166788,16:29:30,新浪
2026-06-20 04:30:07,006503,688183,生益电子,2026年1季度股票投资明细,2026Q1季报,否,9.69,9.69,151.19,12648.45,生益电子,138.5,-1.822,-0.1765518,15:34:59,新浪
2026-06-20 04:30:07,006503,300308,中际旭创,2026年1季度股票投资明细,2026Q1季报,否,9.64,9.64,22.08,12574.45,中际旭创,1367.88,7.191,0.6932124000000001,16:29:00,新浪
2026-06-20 04:30:07,006503,688498,源杰科技,2026年1季度股票投资明细,2026Q1季报,否,9.61,9.61,12.47,12540.05,源杰科技,1673.36,3.806,0.3657566,15:00:03,新浪
2026-06-20 04:30:07,006503,300502,新易盛,2026年1季度股票投资明细,2026Q1季报,否,9.61,9.61,28.31,12538.97,新易盛,581.48,4.23,0.406503,16:29:30,新浪
2026-06-20 04:30:07,006503,600105,永鼎股份,2026年1季度股票投资明细,2026Q1季报,否,8.43,8.43,396.27,10992.56,永鼎股份,62.12,-1.537,-0.1295691,15:00:02,新浪
2026-06-20 04:30:07,006503,002463,沪电股份,2026年1季度股票投资明细,2026Q1季报,否,7.41,7.41,127.32,9672.5,沪电股份,147.9,0.921,0.0682461,15:00:00,新浪
2026-06-20 04:30:07,006503,600498,烽火通信,2026年1季度股票投资明细,2026Q1季报,否,6.56,6.56,169.54,8558.38,烽火通信,75.31,-1.787,-0.11722719999999999,15:00:01,新浪
2026-06-20 04:30:07,006503,688195,腾景科技,2026年1季度股票投资明细,2026Q1季报,否,5.63,5.63,30.0,7339.5,腾景科技,212.54,0.816,0.0459408,15:34:59,新浪
2026-06-20 04:30:07,006503,600183,生益科技,2025年4季度股票投资明细,2025年报补足,是,9.7,9.7,165.72,11834.14,生益科技,183.87,2.065,0.20030499999999996,15:00:01,新浪
2026-06-20 04:30:07,006503,300476,胜宏科技,2025年4季度股票投资明细,2025年报补足,是,4.04000000000001,9.21,39.05,11229.42,胜宏科技,369.0,2.018,0.08152720000000019,16:29:15,新浪
